phi_1,phi_2_mode,phi_2_err_m,phi_2_err_p,width_mode,width_err_m,width_err_p,peak_int_mode,peak_int_err_m,peak_int_err_p,linear_density_mode,linear_density_err_m,linear_density_err_p
-8.7,-0.3009463297199514,-0.3244359692255101,-0.28315755495252015,0.13371698251180478,0.12380717169338094,0.14778299269365316,321.5991467855572,271.4047980555945,370.9451055842755,107.79320618327034,84.22737343724197,137.41180246211505
-8.5,-0.27988390483584685,-0.30240945755138254,-0.2591595661232677,0.13439317618625593,0.12465497202328218,0.14838046571216226,294.03369169516196,250.44481174428685,341.61012326476776,99.05222803890416,78.2549068751153,127.05664872374693
-8.299999999999999,-0.2582501147337677,-0.2847786578465664,-0.2387485562781893,0.1350810484323274,0.12479454834122956,0.148193033904656,264.29443539439205,227.422179823303,311.36644794790976,89.48956072537726,71.14073791644438,115.66169053600062
-8.1,-0.2377248163491381,-0.26569539271375864,-0.2165139208531252,0.1358605103732155,0.12632960268254764,0.14955925586615126,240.94735382107143,205.45366382634785,284.06772193773634,82.05505425563547,65.05923537294501,106.49399473490364
-7.8999999999999995,-0.21908405305213485,-0.24915164907440868,-0.19695318508994683,0.13669374161362136,0.12692779090740758,0.14996530856312365,218.83905875587155,184.238175025327,258.44313570462793,74.98310212305033,58.61736322669571,97.1506568643622
-7.699999999999999,-0.20223102321392217,-0.2337659442908639,-0.1785708440180463,0.13758973027969762,0.12747163950458013,0.15025585054067161,196.89272515037987,163.15921455293798,233.77087702455202,67.90560509208468,52.133287448035205,88.04642597324629
-7.5,-0.19070010015245034,-0.21885965535998325,-0.16070248947369314,0.1385071110821352,0.12765020602651628,0.15015604692293746,177.28789597854578,144.29266461532393,212.78967478394793,61.551847242437034,46.16955702896957,80.09092533241643
-7.3,-0.17472489337269204,-0.20516450724607893,-0.14359519586708613,0.13911925799569916,0.12821372127537592,0.15054288546546676,157.59264104043947,127.93555313312659,195.15291337530314,54.95574764616944,41.1164575840802,73.64193801907417
-7.1,-0.1586115765735202,-0.19142689516696393,-0.1269186137476155,0.13974729036822434,0.1295021879057827,0.1518291586761947,142.0139515854551,113.92312808121913,180.75863280840093,49.74670749006996,36.98102473556624,68.79298708360258
-6.8999999999999995,-0.14145846317872351,-0.17929305115718402,-0.11238492057140201,0.1404772040413788,0.12973795978196273,0.1518943171775877,129.12245263687672,99.70306608159972,164.331547821383,45.467131503689735,32.423919481326806,62.56801916795637
-6.699999999999999,-0.1276862564711348,-0.16501131303263797,-0.09617105588347816,0.14111475969227663,0.13023947918378315,0.15230760948646388,117.94738185825696,91.31479164053702,155.46577290237857,41.72061289295559,29.8108059468457,59.35349896706941
-6.499999999999999,-0.11393067254559341,-0.15345820877287122,-0.08333250714907749,0.14177663004977734,0.13065698446076646,0.15265990140361504,110.10776791426959,83.69569175584415,146.3561593096672,39.13024275461599,27.411049754297125,56.00488578834856
-6.299999999999999,-0.10038221809728767,-0.13531240092941083,-0.06462161450302152,0.14254319629212966,0.1320380713157938,0.15411427444419667,105.0672360837,76.00368980181732,135.6861550398576,37.540818290506245,25.154968794527864,52.41653833995415
-6.1,-0.08703925418546637,-0.12447620413622891,-0.053878706053722455,0.14330991724191566,0.13235349674096628,0.15435445790199823,101.77635010264314,77.05142864349455,138.86880344143876,36.56057787536936,25.56266034172127,53.72962437857827
-5.8999999999999995,-0.07397440978953411,-0.10917821242548792,-0.03932276585188915,0.14411706032633867,0.132985963963682,0.15500554157653768,100.53771020230708,71.64304856921234,129.40676084123868,36.31903650753235,23.881950706469606,50.27986762315016
-5.699999999999999,-0.06148643412902348,-0.09533184239342521,-0.026769523591804026,0.1449750356088473,0.1340278390301837,0.15611481244967554,101.87978861297256,75.99715156468424,136.09054011970994,37.02296474348446,25.53184883390814,53.25519552749632
-5.499999999999999,-0.049628449393521124,-0.085255893279189,-0.018141962414474903,0.14573794617906424,0.1342269896293275,0.1564091999506598,108.64379067084525,77.90908452200365,137.21008841123816,39.68875623196619,26.213069894829395,53.79454925651442
-5.299999999999999,-0.03855061945761788,-0.07425307955237326,-0.009106930661953564,0.14646037115371915,0.13465554274403224,0.15697111344526948,112.94450559146509,80.9085528053681,139.15603352003225,41.46437973948042,27.30917635422908,54.75347837859368
-5.1,-0.02777027216446222,-0.05848376828526066,0.004504086724372407,0.14719390569348376,0.135149545698197,0.15762098391155435,118.25853180036131,84.73340425642859,142.105816408323,43.632715890019554,28.705107614050902,56.14561229082034
-4.8999999999999995,-0.016864961037806478,-0.04756604265384963,0.013152245210599992,0.14802953412950873,0.13562355419698188,0.1582331562967287,123.29145893497957,91.86558652640142,149.5736763711579,45.74791423442954,31.230425966794034,59.325662066448515
-4.699999999999999,-0.006856998783468488,-0.0353535247886124,0.02312258669640372,0.1487520580164151,0.1366532848964932,0.15950791520617838,130.86713323538552,102.25828231203185,160.99930444087377,48.79591948961567,35.02744851147629,64.37187699224964
-4.499999999999999,0.0021712438954883673,-0.024625604394302038,0.03181830438705566,0.14951206146663767,0.13733577901986876,0.16030535049187347,145.5470631207368,112.61405482390849,171.80103678967734,54.54684177796174,38.76735986034169,69.03411037236746
-4.299999999999999,0.01028493335043558,-0.016155087383290634,0.038208825054031406,0.15017231013781487,0.13812519246765345,0.16128387942243158,157.77839649590476,124.78652264273533,184.90475876853847,59.39191571218842,43.2046521618447,74.75306149012442
-4.1,0.01763426889848635,-0.007263744844170944,0.045009269247784686,0.15096348028942144,0.13886279514827163,0.16224077286117478,173.72878660521656,139.27522613283705,200.9511748162029,65.74059341614854,48.47855979630055,81.72228292457694
-3.8999999999999995,0.025806728421008347,0.0010565690094693214,0.05158588888195484,0.15155785627614843,0.13949205513050736,0.163112935644508,188.69991694881466,154.16332952066665,217.80742303534709,71.6869489578094,53.9039372787477,89.05350453381804
-3.6999999999999993,0.0332819333222367,0.008583873850181181,0.057645680095558115,0.1521930622365559,0.13964797260853326,0.1633774839452139,201.76418225107614,168.7227321067568,234.85178596259067,76.97130701601003,59.06064267736274,96.17805826947935
-3.499999999999999,0.040354815726787875,0.016653120993744358,0.06471906671064971,0.1527277424820983,0.14030210021666278,0.16419722855203794,222.98078265445756,185.9521096970485,256.45550626278185,85.3641071020068,65.39660700781786,105.5523203328723
-3.299999999999999,0.047325930357236465,0.023634020742754377,0.07123876018859115,0.15346859757624623,0.14114586073005872,0.16530953146040814,241.95375918287988,202.1854742428011,276.75846351138586,93.07688335950073,71.53326230651584,114.68027877299252
-3.0999999999999996,0.05417962599268237,0.028450869069337335,0.07584798776961502,0.15142564496612543,0.14220948807506475,0.16662729560622203,258.3013040370168,218.76685801430028,298.4215736129758,98.04285853091058,77.98301763026744,124.64254155174446
-2.8999999999999995,0.057713456170988484,0.034462475632323686,0.08167005905645087,0.15209988638926014,0.14267039962570008,0.16730369913909776,273.04068035950957,233.59308391946988,317.90757308624734,104.09890979852773,83.5379458879505,133.32032119569558
-2.6999999999999993,0.06188392380667923,0.03758368225998249,0.0844539385072725,0.15281064989918455,0.14287795025861477,0.1677133390550552,286.0208070226263,246.04682028067234,333.48662807105484,109.55726568223581,88.11967814987699,140.19611024363874
-2.499999999999999,0.06532927208217074,0.0424552991696224,0.08878156494051889,0.15354280390741867,0.1434221105376872,0.1685048936059125,297.8653400433033,256.7551777348739,346.1927478063085,114.64084340989106,92.30500573957808,146.22459188216695
-2.299999999999999,0.06836608675975765,0.0463575411567464,0.09270836877034518,0.1543205022115463,0.1438468561138795,0.16915353218756368,308.4627516360375,267.3377455170037,357.54035183051303,119.32083683416433,96.39413043535426,151.59890636524855
-2.0999999999999996,0.07105946390776735,0.04788793041264354,0.09432235819068036,0.15503788215238745,0.1445454997032755,0.1701614163473272,311.18045141280766,271.456324474658,359.30463380811176,120.93167489221668,98.35455402049939,153.25471476080347
-1.8999999999999995,0.0734510923489425,0.04947764492554346,0.09574329889410461,0.15580364457006626,0.14466157113554132,0.17042444385809138,308.0230732911617,274.2838957789484,359.03884601378286,120.2958918822666,99.45884718118548,153.37806660597337
-1.6999999999999993,0.07191180782909969,0.05113258837066849,0.09714733885763184,0.15664855159124863,0.14505417066721032,0.17105727165993084,323.00636843590274,275.72676884630295,357.3624030332843,126.83158004541164,100.25339441461327,153.2287768426028
-1.4999999999999991,0.07467691060358718,0.05018789227580769,0.09599796068674091,0.15748009831773263,0.14564205227517985,0.17189880467844484,314.68798142547405,274.56890699647386,353.0230423597665,124.221213666363,100.23700437487103,152.11282931588198
-1.299999999999999,0.07582856981377306,0.05192650888944198,0.09730939954202883,0.15832860038319502,0.1460151355144169,0.17254435502932647,312.610452321822,271.0375367020856,347.09053504225665,124.06600606851556,99.20127445811492,150.11823877225456
-1.0999999999999996,0.0767527361599933,0.049995110770181234,0.09512797900798103,0.1590920628729343,0.14647559722352488,0.17324534188661492,307.4318840761889,267.1509604543412,342.17341827488906,122.59912030727452,98.08711285756057,148.59280087809904
-0.8999999999999995,0.07767850304181047,0.0490335235877592,0.0941532151654988,0.15988769556512294,0.14704376587238693,0.1740987601084896,301.5960985327645,260.73859521530676,336.11555439926536,120.87338834408061,96.1040903214252,146.68112192873386
-0.6999999999999993,0.06887890237182373,0.04724082776797109,0.09213287143778637,0.1605735948838386,0.1478471296048589,0.17518840048077963,295.18530913315675,252.26170460632326,328.0556931007583,118.81158897651387,93.48763158857145,144.05981758841165
-0.4999999999999991,0.06715728788168568,0.045089499036057204,0.09001995856263018,0.16133398326652018,0.14844140874020342,0.1760394721414395,287.05588706284476,245.21997868563315,322.64095691518094,116.0866419907966,91.24327221148384,142.37032908471187
-0.29999999999999893,0.06349926785733193,0.04016291942895548,0.08577203246937892,0.16208467853652947,0.14915874955455022,0.17707719000612462,277.16819095188714,236.37595782834057,315.10464600768074,112.60956619033429,88.37755240922756,139.86445662457376
-0.09999999999999964,0.06113480599075764,0.03778654152926668,0.08401855197535434,0.1628044832530602,0.1499222051803822,0.17807866282599946,267.6270676947383,229.31075295298174,309.4695435630897,109.21601595281089,86.17480633963258,138.1400899589621
